,M1,M2,M3,M4,M5,M6
j0101,15,13,16,12,9,5
j0102,16,10,5,9,11,6
j0103,9,5,7,7,6,6
j0104,9,10,9,10,8,10
j0201,8,5,5,6,4,16
j0202,9,5,12,6,7,13
j0203,14,5,6,7,5,14
j0204,13,12,16,8,9,6
j0205,15,13,16,12,9,5
j0206,9,13,18,12,6,18
j0207,8,5,9,8,7,9
j0301,12,5,9,15,6,9
j0302,19,12,19,16,16,21
j0303,5,6,12,20,8,12
j0304,7,14,11,15,9,11
j0401,5,4,5,6,7,5
j0402,6,7,6,16,9,8
j0403,11,7,7,9,13,10
j0404,18,11,25,18,17,20
j0405,16,15,13,17,18,13
j0501,9,5,12,6,7,13
j0502,14,5,6,7,5,14
j0503,13,12,16,8,9,6
j0504,18,11,25,18,17,20
j0505,16,15,13,17,18,13
j0601,12,12,13,13,7,10
j0602,26,20,16,17,14,18
j0603,7,5,8,6,5,5
j0701,12,10,8,8,7,8
j0702,14,10,12,11,8,9
j0703,10,15,13,20,10,11
j0704,11,16,27,22,16,14
j0705,25,23,21,20,22,21
j0706,22,18,16,17,14,12
j0707,23,19,25,19,15,16
j0801,24,12,9,6,6,9
j0802,27,20,20,23,16,18
j0803,5,6,13,13,11,5
j0804,14,13,11,20,14,11
j0901,9,6,7,9,8,7
j0902,11,14,16,9,12,16
j0903,16,21,17,20,23,17
j0904,14,18,19,21,18,19
j0905,7,12,9,5,11,9
j1001,9,8,12,7,5,5
j1002,25,24,22,18,14,20
j1003,25,16,19,25,22,17
j1004,11,5,13,8,9,10
j1101,15,13,23,24,18,18
j1102,11,14,10,13,9,14
j1103,17,14,23,18,25,15
j1104,10,8,6,5,5,13
j1105,15,13,16,12,9,5
j1106,16,10,5,9,11,6
j1201,9,5,7,7,6,6
j1202,9,10,9,10,8,10
j1203,8,5,5,6,4,16
j1204,9,5,12,6,7,13
j1205,14,5,6,7,5,14
j1301,13,12,16,8,9,6
j1302,18,11,25,18,17,20
j1303,16,15,13,17,18,13
j1304,10,8,6,5,5,13
j1401,20,17,14,22,21,17
j1402,13,13,13,9,11,10
j1403,11,16,14,13,12,12
j1404,7,17,6,7,8,13
j1501,8,11,13,12,9,7
j1502,11,5,5,11,9,12
j1503,11,6,12,9,14,13
j1601,23,19,17,18,21,10
j1602,11,20,14,23,12,11
j1603,6,10,10,18,13,7
j1604,17,15,6,8,9,18
j1605,14,10,15,19,5,16
j1606,6,9,9,14,5,7
j1607,14,11,15,13,18,23
j1608,5,11,12,10,5,9
j1701,20,13,24,15,24,23
j1702,19,25,16,13,25,19
j1703,21,11,18,20,18,15
j1704,19,21,25,24,25,20
j1801,14,18,17,16,19,22
j1802,12,8,14,11,10,10
j1803,21,12,14,19,17,13
j1804,13,11,11,9,10,17
j1805,7,19,13,12,15,20
j1901,20,22,16,14,19,19
j1902,12,12,13,13,7,10
j1903,20,19,25,19,14,25
j1904,26,13,17,24,14,25
j1905,16,18,23,18,23,25
j1906,15,13,23,24,18,18
j1907,11,14,10,13,9,14
j2001,17,14,23,18,25,15
j2002,20,8,9,12,12,19
j2003,16,17,23,18,22,10
j2004,10,8,9,10,8,13
j2005,15,18,25,14,20,22
j2006,6,10,19,20,16,12
